date and time (UTC),image name,radiation
2017-07-26 13:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172071300380_e20172071311147_c20172071311195.nc,335.0
2017-07-26 13:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172071315380_e20172071326147_c20172071326190.nc,505.0
2017-07-26 13:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172071330380_e20172071341147_c20172071341194.nc,587.0
2017-07-26 13:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172071345380_e20172071356147_c20172071356194.nc,629.0
2017-07-26 14:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172071400380_e20172071411147_c20172071411192.nc,583.0
2017-07-26 14:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172071415380_e20172071426147_c20172071426191.nc,733.0
2017-07-26 14:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172071430380_e20172071441147_c20172071441193.nc,747.0
2017-07-26 14:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172071445380_e20172071456147_c20172071456197.nc,536.0
2017-07-26 15:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172071500380_e20172071511147_c20172071511191.nc,577.0
2017-07-26 15:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172071515380_e20172071526147_c20172071526189.nc,350.0
2017-07-26 15:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172071530380_e20172071541147_c20172071541193.nc,454.0
2017-07-26 15:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172071545380_e20172071556147_c20172071556192.nc,980.0
2017-07-26 16:20:00 UTC,OR_ABI-L1b-RadF-M3C01_G16_s20172071615380_e20172071626147_c20172071626188.nc,1091.0
2017-07-26 16:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172071630380_e20172071641147_c20172071641193.nc,820.0
2017-07-26 16:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172071645380_e20172071656147_c20172071656193.nc,1260.0
2017-07-26 17:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172071700380_e20172071711147_c20172071711191.nc,583.0
2017-07-26 17:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172071715380_e20172071726147_c20172071726190.nc,802.0
2017-07-26 17:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172071730380_e20172071741147_c20172071741195.nc,1283.0
2017-07-26 17:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172071745380_e20172071756147_c20172071756194.nc,1205.0
2017-07-26 18:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172071800378_e20172071811145_c20172071811191.nc,919.0
2017-07-26 18:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172071815378_e20172071826145_c20172071826191.nc,358.0
2017-07-26 18:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172071830378_e20172071841145_c20172071841190.nc,572.0
2017-07-26 18:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172071845378_e20172071856145_c20172071856190.nc,584.0
2017-07-26 19:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172071900378_e20172071911145_c20172071911189.nc,390.0
2017-07-26 19:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172071915378_e20172071926145_c20172071926188.nc,371.0
2017-07-26 19:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172071930378_e20172071941145_c20172071941190.nc,214.0
2017-07-26 19:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172071945378_e20172071956145_c20172071956188.nc,224.0
2017-07-26 20:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172072000378_e20172072011145_c20172072011192.nc,214.0
2017-07-26 20:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172072015378_e20172072026145_c20172072026189.nc,202.0
2017-07-26 20:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172072030378_e20172072041145_c20172072041190.nc,223.0
2017-07-26 20:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172072045378_e20172072056145_c20172072056190.nc,277.0
2017-07-26 21:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172072100378_e20172072111145_c20172072111190.nc,477.0
2017-07-26 21:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172072115378_e20172072126145_c20172072126193.nc,213.0
2017-07-26 21:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172072130378_e20172072141145_c20172072141188.nc,131.0
2017-07-26 21:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172072145378_e20172072156145_c20172072156191.nc,128.0
2017-07-26 22:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172072200378_e20172072211145_c20172072211190.nc,223.0
2017-07-26 22:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172072215378_e20172072226145_c20172072226191.nc,238.0
2017-07-26 22:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172072230378_e20172072241145_c20172072241190.nc,115.0
2017-07-26 22:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172072245378_e20172072256145_c20172072256193.nc,41.0
2017-07-26 23:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172072300378_e20172072311145_c20172072311187.nc,16.0
2017-07-26 23:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172072315378_e20172072326145_c20172072326190.nc,3.0
2017-07-27 11:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172081100380_e20172081111146_c20172081111194.nc,3.0
2017-07-27 11:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172081115380_e20172081126146_c20172081126194.nc,32.0
2017-07-27 11:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172081130380_e20172081141146_c20172081141191.nc,101.0
2017-07-27 11:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172081145380_e20172081156146_c20172081156191.nc,151.0
2017-07-27 12:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172081200380_e20172081211146_c20172081211189.nc,174.0
2017-07-27 12:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172081215379_e20172081226146_c20172081226190.nc,267.0
2017-07-27 12:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172081230379_e20172081241146_c20172081241193.nc,304.0
2017-07-27 12:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172081245379_e20172081256146_c20172081256190.nc,411.0
2017-07-27 13:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172081300379_e20172081311146_c20172081311191.nc,357.0
2017-07-27 13:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172081315379_e20172081326146_c20172081326189.nc,488.0
2017-07-27 13:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172081330379_e20172081341146_c20172081341192.nc,546.0
2017-07-27 13:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172081345379_e20172081356146_c20172081356193.nc,616.0
2017-07-27 14:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172081400379_e20172081411146_c20172081411193.nc,677.0
2017-07-27 14:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172081415379_e20172081426146_c20172081426188.nc,711.0
2017-07-27 14:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172081430379_e20172081441146_c20172081441193.nc,768.0
2017-07-27 14:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172081445379_e20172081456146_c20172081456190.nc,818.0
2017-07-27 15:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172081500379_e20172081511146_c20172081511192.nc,889.0
2017-07-27 15:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172081515379_e20172081526146_c20172081526192.nc,950.0
2017-07-27 15:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172081530379_e20172081541146_c20172081541192.nc,1102.0
2017-07-27 15:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172081545379_e20172081556146_c20172081556191.nc,1088.0
2017-07-27 16:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172081600379_e20172081611146_c20172081611192.nc,935.0
2017-07-27 16:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172081615379_e20172081626146_c20172081626191.nc,1138.0
2017-07-27 16:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172081630379_e20172081641146_c20172081641192.nc,1185.0
2017-07-27 16:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172081645379_e20172081656146_c20172081656192.nc,1212.0
2017-07-27 17:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172081700379_e20172081711146_c20172081711193.nc,243.0
2017-07-27 17:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172081715379_e20172081726146_c20172081726191.nc,336.0
2017-07-27 17:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172081730379_e20172081741146_c20172081741192.nc,237.0
2017-07-27 17:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172081745379_e20172081756146_c20172081756189.nc,252.0
2017-07-27 18:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172081800377_e20172081811144_c20172081811188.nc,918.0
2017-07-27 18:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172081815377_e20172081826144_c20172081826188.nc,1136.0
2017-07-27 18:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172081830377_e20172081841144_c20172081841187.nc,281.0
2017-07-27 18:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172081845377_e20172081856144_c20172081856190.nc,265.0
2017-07-27 19:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172081900377_e20172081911144_c20172081911190.nc,621.0
2017-07-27 19:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172081915377_e20172081926144_c20172081926187.nc,184.0
2017-07-27 19:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172081930377_e20172081941144_c20172081941188.nc,164.0
2017-07-27 19:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172081945377_e20172081956144_c20172081956188.nc,132.0
2017-07-27 20:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172082000377_e20172082011144_c20172082011187.nc,805.0
